予報地域コード,都道府県コード,都道府県代表地,予報都道府県名,予報地域名,代表都市名
6200,27,1,大阪府,大阪,大阪
6310,28,1,兵庫県,南部,神戸
6320,28,0,兵庫県,北部,豊岡
6410,29,1,奈良県,北部,奈良
6420,29,0,奈良県,南部,風屋
6510,30,1,和歌山県,北部,和歌山
6520,30,0,和歌山県,南部,潮岬
6610,33,1,岡山県,南部,岡山
6620,33,0,岡山県,北部,津山
6710,34,1,広島県,南部,広島
6720,34,0,広島県,北部,庄原
6810,32,1,島根県,東部,松江
6820,32,0,島根県,西部,浜田
6830,32,0,島根県,隠岐,西郷
6910,31,1,鳥取県,東部,鳥取
6920,31,0,鳥取県,中・西部,米子
8110,35,0,山口県,西部,下関
8120,35,1,山口県,中部,山口
8130,35,0,山口県,東部,柳井
8140,35,0,山口県,北部,萩
7110,36,1,徳島県,北部,徳島
7120,36,0,徳島県,南部,日和佐
7200,37,1,香川県,高松,高松
7310,38,1,愛媛県,中予,松山
7320,38,0,愛媛県,東予,新居浜
7330,38,0,愛媛県,南予,宇和島
7410,39,1,高知県,中部,高知
7420,39,0,高知県,東部,室戸
7430,39,0,高知県,西部,清水
8210,40,1,福岡県,福岡地方,福岡
8220,40,0,福岡県,北九州,八幡
8230,40,0,福岡県,筑豊地方,飯塚
8240,40,0,福岡県,筑後地方,久留米
8310,44,1,大分県,中部,大分
8320,44,0,大分県,北部,中津
8330,44,0,大分県,西部,日田
8340,44,0,大分県,南部,佐伯
8410,42,1,長崎県,南部,長崎
8420,42,0,長崎県,北部,佐世保
8430,42,0,長崎県,壱岐対馬,厳原
8440,42,0,長崎県,五島,福江
8510,41,1,佐賀県,南部,佐賀
8520,41,0,佐賀県,北部,伊万里
8610,43,1,熊本県,熊本地方,熊本
8620,43,0,熊本県,阿蘇地方,阿蘇乙姫
8630,43,0,熊本県,天草地方,牛深
8640,43,0,熊本県,球磨地方,人吉
8710,45,1,宮崎県,南部平野部,宮崎
8720,45,0,宮崎県,北部平野部,延岡
8730,45,0,宮崎県,南部山沿い,都城
8740,45,0,宮崎県,北部山沿い,高千穂
8810,46,1,鹿児島県,薩摩地方,鹿児島
8820,46,0,鹿児島県,大隅地方,鹿屋
8830,46,0,鹿児島県,種子島屋久島地方,西之表
1000,46,0,鹿児島県,奄美地方,名瀬
9110,47,1,沖縄県,本島中南部,那覇
9120,47,0,沖縄県,本島北部,名護
9130,47,0,沖縄県,久米島,久米島
9200,47,0,沖縄県,大東島地方,南大東島
9300,47,0,沖縄県,宮古島地方,宮古島
9410,47,0,沖縄県,石垣島地方,石垣島
9420,47,0,沖縄県,与那国島地方,与那国島
